%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2024 245 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 83.00 13.10 102.18 0.00 0.00 -999.00 316.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 77.00
2024 245 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 86.00 12.60 102.16 0.00 0.00 -999.00 314.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 78.00
2024 245 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.80000 88.00 12.40 102.11 0.00 0.00 -999.00 313.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 80.00
2024 245 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 89.00 12.10 102.08 0.00 0.00 -999.00 312.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 82.00
2024 245 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 89.00 12.00 102.04 0.00 0.00 -999.00 309.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 85.00
2024 245 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 89.00 11.70 102.04 0.00 5.00 -999.00 307.00 -999.00 -999.00 -999.00 -999.00 4.00 20.00 86.00
2024 245 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 84.00 13.20 102.05 0.00 85.00 -999.00 306.00 -999.00 -999.00 -999.00 -999.00 37.00 346.00 86.00
2024 245 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 76.00 15.40 102.02 0.00 222.00 -999.00 308.00 -999.00 -999.00 -999.00 -999.00 65.00 541.00 87.00
2024 245 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 69.00 17.50 102.00 0.00 365.00 -999.00 312.00 -999.00 -999.00 -999.00 -999.00 88.00 645.00 83.00
2024 245 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.10000 63.00 19.50 101.96 0.00 489.00 -999.00 319.00 -999.00 -999.00 -999.00 -999.00 112.00 689.00 82.00
2024 245 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.40000 56.00 21.00 101.92 0.00 578.00 -999.00 327.00 -999.00 -999.00 -999.00 -999.00 146.00 680.00 81.00
2024 245 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.50000 54.00 22.10 101.87 0.00 611.00 -999.00 334.00 -999.00 -999.00 -999.00 -999.00 198.00 601.00 87.00
2024 245 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.30000 50.00 22.80 101.81 0.00 613.00 -999.00 342.00 -999.00 -999.00 -999.00 -999.00 214.00 570.00 89.00
2024 245 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 49.00 23.40 101.74 0.00 577.00 -999.00 344.00 -999.00 -999.00 -999.00 -999.00 209.00 547.00 91.00
2024 245 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.10000 49.00 23.60 101.70 0.00 503.00 -999.00 347.00 -999.00 -999.00 -999.00 -999.00 210.00 482.00 91.00
2024 245 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.10000 50.00 23.50 101.64 0.00 401.00 -999.00 346.00 -999.00 -999.00 -999.00 -999.00 172.00 450.00 88.00
2024 245 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 52.00 22.90 101.59 0.00 262.00 -999.00 345.00 -999.00 -999.00 -999.00 -999.00 143.00 311.00 80.00
2024 245 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 55.00 21.80 101.53 0.00 130.00 -999.00 346.00 -999.00 -999.00 -999.00 -999.00 102.00 118.00 67.00
2024 245 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.80000 60.00 20.10 101.53 0.00 36.00 -999.00 343.00 -999.00 -999.00 -999.00 -999.00 30.00 71.00 66.00
2024 245 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 67.00 18.30 101.54 0.00 0.00 -999.00 335.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 73.00
2024 245 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 70.00 17.30 101.56 0.00 0.00 -999.00 330.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 81.00
2024 245 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 73.00 16.70 101.56 0.00 0.00 -999.00 327.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 86.00
2024 245 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 75.00 16.00 101.54 0.00 0.00 -999.00 323.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
2024 246 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.80000 79.00 15.30 101.52 0.00 0.00 -999.00 321.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 93.00
2024 246 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 83.00 14.60 101.52 0.00 0.00 -999.00 318.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 102.00
2024 246 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 86.00 14.00 101.48 0.00 0.00 -999.00 318.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 101.00
2024 246 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 89.00 13.50 101.40 0.00 0.00 -999.00 316.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 98.00
2024 246 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 92.00 13.00 101.36 0.00 0.00 -999.00 315.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 102.00
2024 246 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.20000 94.00 12.60 101.35 0.00 0.00 -999.00 309.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 101.00
2024 246 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.20000 94.00 12.50 101.33 0.00 4.00 -999.00 313.00 -999.00 -999.00 -999.00 -999.00 4.00 0.00 92.00
2024 246 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 88.00 14.10 101.33 0.00 78.00 -999.00 311.00 -999.00 -999.00 -999.00 -999.00 42.00 268.00 95.00
2024 246 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.80000 79.00 16.30 101.33 0.00 220.00 -999.00 308.00 -999.00 -999.00 -999.00 -999.00 66.00 539.00 106.00
2024 246 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.80000 68.00 18.70 101.33 0.00 366.00 -999.00 312.00 -999.00 -999.00 -999.00 -999.00 83.00 666.00 108.00
2024 246 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 60.00 20.80 101.30 0.00 497.00 -999.00 319.00 -999.00 -999.00 -999.00 -999.00 95.00 741.00 109.00
2024 246 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 52.00 22.50 101.26 0.00 596.00 -999.00 326.00 -999.00 -999.00 -999.00 -999.00 103.00 782.00 114.00
2024 246 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 47.00 23.50 101.23 0.00 651.00 -999.00 333.00 -999.00 -999.00 -999.00 -999.00 114.00 786.00 120.00
2024 246 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 43.00 24.40 101.20 0.00 653.00 -999.00 340.00 -999.00 -999.00 -999.00 -999.00 138.00 740.00 124.00
2024 246 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.20000 41.00 24.90 101.16 0.00 603.00 -999.00 346.00 -999.00 -999.00 -999.00 -999.00 163.00 658.00 121.00
2024 246 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 40.00 25.30 101.10 0.00 523.00 -999.00 353.00 -999.00 -999.00 -999.00 -999.00 163.00 597.00 118.00
2024 246 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 40.00 25.20 101.07 0.00 398.00 -999.00 356.00 -999.00 -999.00 -999.00 -999.00 157.00 478.00 118.00
2024 246 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.30000 41.00 24.70 101.04 0.00 255.00 -999.00 362.00 -999.00 -999.00 -999.00 -999.00 137.00 313.00 111.00
2024 246 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 46.00 23.50 101.03 0.00 131.00 -999.00 363.00 -999.00 -999.00 -999.00 -999.00 85.00 198.00 99.00
2024 246 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.00000 53.00 21.70 101.06 0.00 33.00 -999.00 358.00 -999.00 -999.00 -999.00 -999.00 30.00 38.00 98.00
2024 246 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 59.00 19.90 101.07 0.00 0.00 -999.00 355.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 107.00
2024 246 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.30000 62.00 19.40 101.10 0.00 0.00 -999.00 355.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 112.00
2024 246 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 64.00 18.60 101.11 0.00 0.00 -999.00 350.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 113.00
2024 246 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.30000 67.00 17.70 101.14 0.00 0.00 -999.00 344.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 125.00
2024 247 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.10000 68.00 17.40 101.11 0.00 0.00 -999.00 347.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 123.00
2024 247 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.80000 71.00 17.00 101.08 0.00 0.00 -999.00 357.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 119.00
